PRODUCT,URL,PRICE,COMPARE_AT_PRICE,STOCK,CATEGORY,PRODUCTNO,BARCODE,WEIGHT,WEIGHT_UNIT,REQUIRES_SHIPPING,TAXABLE,VENDOR,TAGS,PUBLISHED_AT,CREATED_AT,UPDATED_AT,DESCRIPTION,IMGURL,IMAGE_FILENAME
Akvárium M by Lukáš Novák - Default Title,https://www.pokojovky.co//products/terarium-m-by-lukas-novak,590.00,,Yes,Řasokoule,,,,,Yes,Yes,Pokojovky,"Akvária a terária, cesky, Tilandsie, Řasokoule",2023-10-30T15:57:27+01:00,2020-10-15T13:11:46+02:00,2024-11-13T16:12:49+01:00,"Naše terárka jsou minimalistický skleněný domeček pro vaše řasokoule nebo airplant. Ručně foukaná baňka z odolného simaxu má nadčasový tvar, který vás bude bavit hrou kružnic a koulí. Vyrobeno ve sklářské dílně v Libereckém kraji. Za celou kolekcí stojí designér Lukáš Novák.
Velikost: 10 cm
Nádobu dodáváme v dárkové krabičce.",https://cdn.shopify.com/s/files/1/2581/0526/products/OrpP1Heg.jpg?v=1646651940,OrpP1Heg.jpg
Akvárium L by Lukáš Novák - Default Title,https://www.pokojovky.co//products/terarium-l-by-lukas-novak,750.00,,Yes,Řasokoule,,,,,Yes,Yes,Pokojovky,"Akvária a terária, cesky, Tilandsie, Řasokoule",2022-02-22T15:43:29+01:00,2020-10-27T12:11:54+01:00,2024-11-13T16:12:49+01:00,"Naše terárka jsou minimalistický skleněný domeček pro vaše řasokoule nebo airplant. Ručně foukaná baňka z odolného simaxu má nadčasový tvar, který vás bude bavit hrou kružnic a koulí. Vyrobeno ve sklářské dílně v Libereckém kraji. Za celou kolekcí stojí designér Lukáš Novák.
Velikost: 13 cm
Nádobu dodáváme v dárkové krabičce.",https://cdn.shopify.com/s/files/1/2581/0526/products/96VVeJFA.jpg?v=1646652012,96VVeJFA.jpg
Velká sada akvárium a řasokoule - 1x řasokoule L (5-7 cm),https://www.pokojovky.co//products/sada-terarium-l-a-rasokoule,850.00,,Yes,Řasokoule,"A: Cladophora aegagropila, B: CZ-1726, C: CZ-5665",,,,Yes,Yes,Pokojovky,"500-1000, Akvária a terária, cesky, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, pro-radost, pro_ještě_větší_radost, rasokoule, Sady, valentyn, zacatecnici, Zelené sady",2022-02-22T15:43:29+01:00,2020-10-27T12:09:26+01:00,2024-11-13T16:12:49+01:00,"Zvýhodněná sada akvária velikosti L a jedné velké řasokoule.
Naše akvárka jsou minimalistický skleněný domeček pro vaše řasokoule nebo airplant. Ručně foukaná baňka z odolného simaxu má nadčasový tvar, který vás bude bavit hrou kružnic a koulí. Vyrobeno ve sklářské dílně v Libereckém kraji. Za celou kolekcí stojí designér Lukáš Novák.
  
V sadě najdete
1 velká řasokoule L (5-7cm)
1 skleněné akvárium by Lukáš Novák (13 cm)
návod a povídání o řasokouli pro budoucího majitele
 
Péče o řasokoule
Světlo: světlé i tmavé místo bez přímého slunce.
Voda: studená odstátá voda, 1x za 10-14 dní vyměnit, v létě měníme častěji.
Teplota: řasokoule je velmi odolná, co se teploty týče. Udává se, že by měla být spokojená v rozmezí teplot 5-25 °C.
Množení: v přirozeném prostředí se množí dělením.
Další péče: občas pootočit, pro stále kulatý tvar koulet mezi dlaněmi pod kohoutkovou vodou. Odstraníte tak z kouličky nečistoty a také jim to simuluje koulení po dně jezera.
Příznaky smutné pokojovky:
Koulička má hnědé skvrnky – spálení od paprsků slunce.Změnila barvu – nejčastěji způsobuje nedostatečná péče, zkuste měnit vodu častěji nebo ji přesuňte na chladnější místo. Můžete ji také obzvlášť během letních měsíců umisťovat do lednice, kde je chladněji a občas ji umístit opět na světlo.


Pokud se rozhodnete darovat set později než pár dní od přijetí našeho balíčku, nezapomeňte řasokoule vysvobodit z dárkové krabičky a vložit je do vody!",https://cdn.shopify.com/s/files/1/2581/0526/products/jqqVyOAA_17086220-a47e-4f73-a4ac-9dc121909904.jpg?v=1646652078,jqqVyOAA_17086220-a47e-4f73-a4ac-9dc121909904.jpg
Maranta fascinator tricolor - Plastový (v ceně),https://www.pokojovky.co//products/maranta,390.00,,No,pokojovka,"A: Marantha leuconeura 'Fascinator Tricolor', B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"300-500, bestsellers, cistsi-vzduch, denmatek, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, malapokojovka, malosvetla, nas-vyber, petfriendly, posilame, previsle, s-okrasnym-listem, zacatecnici",2022-02-06T19:00:03+01:00,2017-11-29T14:49:31+01:00,2024-11-13T16:12:50+01:00,,https://cdn.shopify.com/s/files/1/2581/0526/products/l59p8orY.jpg?v=1652085580,l59p8orY.jpg
Monstera Adansonii - Plastový (v ceně),https://www.pokojovky.co//products/monstera-adansonii,480.00,0.00,Yes,pokojovka,"A: Monstera adansonii, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"300-500, bestsellers, celozelene, cistsi-vzduch, denmatek, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, malapokojovka, nas-vyber, nizkanarocnost, posilame, previsle, svetlemisto, zacatecnici",2022-02-06T19:00:09+01:00,2018-06-19T16:03:24+02:00,2024-11-13T16:12:50+01:00,,https://cdn.shopify.com/s/files/1/2581/0526/products/Gn6J8Dnw.jpg?v=1652437589,Gn6J8Dnw.jpg
Pilea peperomioides mini - Plastový (v ceně),https://www.pokojovky.co//products/pilea-peperomioides-mini,220.00,0.00,No,pokojovka,"A: Pilea peperomioides, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"bestsellers, celozelene, cistsi-vzduch, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, do300, leto, Minipokojovka, petfriendly, posilame, primeslunce, stredninarocnost, svetlemisto",2021-09-24T16:00:24+02:00,2020-05-05T20:58:51+02:00,2024-11-13T16:12:50+01:00,,https://cdn.shopify.com/s/files/1/2581/0526/products/aVfQmZ-Y.jpg?v=1652085054,aVfQmZ-Y.jpg
Řasokoule - XS,https://www.pokojovky.co//products/rasokoule-xs,90.00,,No,Řasokoule,"A: Cladophora aegagropila, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"bestsellers, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, do300, malosvetla, Minipokojovka, nizkanarocnost, petfriendly, posilame, rasokoule, zacatecnici",2020-02-14T17:22:38+01:00,2020-02-14T17:22:38+01:00,2024-11-13T16:12:50+01:00,"
Botanický názov: Aegagropila linnaei, Cladophora aegagropila
Běžné názvy: Marimo ball, Lake ball, Mossimo or Moss ball
Znáte řasokoule? Tyhle roztomilé vodní rostlinky jsou asi nejoblíbenější kousek našeho e-shopu. Jejich přirozeným prostředím jsou studená sladkovodní jezera např. v Japonsku nebo na Islandu. Svůj kulatý tvar získaly díky pohybu po dně jezera, které jim v domácím prostředí nahradíte pravidelným tulením, respektive koulením v dlaních. Řasokoule je v současnosti naprostý hit, je to totiž antistresová pomůcka, je roztomilá, dlouhověká a originální dekorace a navíc nevyžaduje skoro žádnou péči.
Náročnost: nízká
Čistí vzduch: ne
Vhodné pro zvířata: ano 
 
Rozměry
XS: 1,5 - 2,5 cm v průměru
S: 2-3 cm v průměru
M: 3-4 cm v průměru
L: 5-7 cm v průměru
 


Balení obsahuje 
- Zdravou rostlinku
- Rostlinkový návod
  
Péče
Světlo: světlé i tmavé místo bez přímého slunce.
Voda: studená odstátá voda, 1x za 10-14 dní vyměnit, v létě měníme častěji.
Teplota: řasokoule je velmi odolná, co se teploty týče. Udává se, že by měla být spokojená v rozmezí teplot 5-25 °C.
Množení: v přirozeném prostředí se množí dělením.
Další péče: občas pootočit, pro stále kulatý tvar koulet mezi dlaněmi pod kohoutkovou vodou. Odstraníte tak z kouličky nečistoty a také jim to simuluje koulení po dně jezera.
Příznaky smutné pokojovky:
Koulička má hnědé skvrnky – spálení od paprsků slunce.Změnila barvu – nejčastěji způsobuje nedostatečná péče, zkuste měnit vodu častěji nebo ji přesuňte na chladnější místo. Můžete ji také obzvlášť během letních měsíců umisťovat do lednice, kde je chladněji a občas ji umístit opět na světlo.

",https://cdn.shopify.com/s/files/1/2581/0526/products/igorzacharov_20220602__DSF1457.jpg?v=1655976977,igorzacharov_20220602__DSF1457.jpg
Svícník - Plastový (v ceně),https://www.pokojovky.co//products/svicnik,400.00,,Yes,pokojovka,"A: Ceropegia woodii, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"300-500, bestsellers, do-chodby, do-kancelare, do-kuchyne, do-loznice, do-obyvaku, kaktusy-a-sukulenty, leto, mdž, Minipokojovka, nizkanarocnost, posilame, previsle, primeslunce, s-okrasnym-listem, svetlemisto, valentyn",2021-09-24T16:00:09+02:00,2017-11-29T14:46:51+01:00,2024-11-13T16:12:50+01:00,,https://cdn.shopify.com/s/files/1/2581/0526/products/YhP8KDI4.jpg?v=1658324485,YhP8KDI4.jpg
Monstera Minima - Plastový (v ceně),https://www.pokojovky.co//products/monstera-minima,590.00,,Yes,pokojovka,"A: Raphidophora tetrasperma, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"500-1000, bestsellers, celozelene, cistsi-vzduch, denmatek, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, malapokojovka, nizkanarocnost, posilame, previsle, svetlemisto, zacatecnici",2022-02-06T19:00:12+01:00,2019-05-13T09:57:40+02:00,2024-11-13T16:12:50+01:00,,https://cdn.shopify.com/s/files/1/2581/0526/products/LmtF_3j0.jpg?v=1652433515,LmtF_3j0.jpg
Asparágus plumosus - Plastový (v ceně),https://www.pokojovky.co//products/asparagus,350.00,0.00,Yes,pokojovka,"A: Asparagus plumosus, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"300-500, bestsellers, celozelene, cistsi-vzduch, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, malosvetla, petfriendly, posilame, pronarocne, stredninarocnost, strednipokojovka, svetlemisto",2022-02-06T19:00:08+01:00,2018-03-21T13:03:41+01:00,2024-11-13T16:12:50+01:00,,https://cdn.shopify.com/s/files/1/2581/0526/products/igorzacharov_20220602__DSF1362.jpg?v=1655976687,igorzacharov_20220602__DSF1362.jpg
Pilea peperomioides - Plastový (v ceně),https://www.pokojovky.co//products/pilea-peperomioides,490.00,,Yes,pokojovka,"A: Pilea peperomioides, B: CZ-1726, C: CZ-5665, D: CZ",,,,Yes,Yes,Pokojovky,"300-500, bestsellers, celozelene, cistsi-vzduch, denmatek, deti-a-zvirata, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, leto, malapokojovka, petfriendly, posilame, primeslunce, stredninarocnost, svetlemisto",2022-02-06T19:00:07+01:00,2018-03-09T17:49:27+01:00,2024-11-13T16:12:50+01:00,,https://cdn.shopify.com/s/files/1/2581/0526/products/23n0XQdM.jpg?v=1652085236,23n0XQdM.jpg
Fíkus elastica Tineke - Plastový (v ceně),https://www.pokojovky.co//products/ficus-elastica-tineke,350.00,,No,pokojovka,"A: Ficus elastica 'Tineke', B: CZ-1726, C: CZ-5665D: CZD: CZ D: CZ",,,,Yes,Yes,Pokojovky,"300-500, bestsellers, cistsi-vzduch, do-chodby, do-kancelare, do-koupelny, do-kuchyne, do-loznice, do-obyvaku, nizkanarocnost, posilame, primeslunce, s-okrasnym-listem, strednipokojovka, svetlemisto, zacatecnici",2021-10-28T17:00:18+02:00,2017-11-27T15:04:10+01:00,2024-11-13T16:12:50+01:00," Rostlinu ti pošleme i za Prahu, pokud není květináč větší než 14 cm, to je maximum. U větších rostlin je tak možné zaslat ji pouze kurýrem po Praze (Liftago) nebo osobní odběr v našem studiu. Děkujeme moc za pochopení. ",https://cdn.shopify.com/s/files/1/2581/0526/products/tAbx8SKg.jpg?v=1658324691,tAbx8SKg.jpg
